date,asset,revenue,last_asset,return_rate
200412,5495695259.92544,0.0,,
200501,5393992242.559999,-101703017.36543995,5495695259.92544,-1.8506
200502,5439646221.064561,45653978.50455995,5393992242.559999,0.8464
200503,7240458090.659671,-109200222.62323517,5439646221.064561,-2.0075
200504,6989394403.314499,-251063687.34516993,7240458090.659671,-3.4675
200505,7383803785.2991705,394409381.98467004,6989394403.314499,5.643
200506,8001011185.799939,284545330.2930033,7383803785.2991705,3.8536
200507,7954282908.86406,-46728276.93587984,8001011185.799939,-0.584
200508,7865847764.3656,-88435144.49846013,7954282908.86406,-1.1118
200509,7425470931.80193,76083249.39971969,7865847764.3656,0.9673
200510,7468792415.2050705,43321483.40314001,7425470931.80193,0.5834
200511,7749969698.502569,281177283.29749995,7468792415.2050705,3.7647
200512,6989340347.63856,90211930.41624004,7749969698.502569,1.164
200601,7334159312.0094,344818964.3708401,6989340347.63856,4.9335
200602,7287999025.340499,-46160286.66890016,7334159312.0094,-0.6294
200603,7714794938.15,19032262.834500134,7287999025.340499,0.2611
200604,7559396779.58,-155398158.57000002,7714794938.15,-2.0143
200605,6933532453.931871,-625864325.6481298,7559396779.58,-8.2793
200606,6306461198.507501,-159997319.24805123,6933532453.931871,-2.3076
200607,5955799099.682501,-350662098.8249999,6306461198.507501,-5.5604
200608,6210481119.900002,254682020.21749997,5955799099.682501,4.2762
200609,7030280136.799009,222540785.5305329,6210481119.900002,3.5833
200610,7418201413.251491,387921276.45247984,7030280136.799009,5.5179
200611,7854615496.870002,436414083.6185103,7418201413.251491,5.883
200612,8008909270.803849,-28264336.832080137,7854615496.870002,-0.3598
200701,8488445397.289998,479536126.48615,8008909270.803849,5.9875
200702,8366662726.317751,-121782670.97225009,8488445397.289998,-1.4347
200703,8907863586.85247,-70742233.97718024,8366662726.317751,-0.8455
200704,9240568434.6321,332704847.7796302,8907863586.85247,3.735
200705,9907477361.000998,666908926.3689002,9240568434.6321,7.2172
200706,10501241993.064178,-323317459.5223651,9907477361.000998,-3.2634
200707,10186465656.538181,-314776336.5259999,10501241993.064178,-2.9975
200708,9987388936.210001,-199076720.32818004,10186465656.538181,-1.9543
200709,9154830931.287552,453239987.4370651,9987388936.210001,4.5381
200710,9658982592.37863,504151661.0910798,9154830931.287552,5.5069
200711,9299823109.63477,-359159482.7438597,9658982592.37863,-3.7184
200712,7832221385.758841,-21681842.358529948,9299823109.63477,-0.2331
200801,7441326762.19302,-390894623.56581986,7832221385.758841,-4.9909
200802,7316498458.00772,-124828304.18530011,7441326762.19302,-1.6775
200803,7012754892.10004,-271108026.6157651,7316498458.00772,-3.7054
200804,7760652736.178721,747897844.07868,7012754892.10004,10.6648
200805,8254204306.93964,493551570.7609202,7760652736.178721,6.3597
200806,4790730129.838581,-424454219.8491402,8254204306.93964,-5.1423
200807,4440166374.5432205,-350563755.29536,4790730129.838581,-7.3175
200808,4507005365.49732,66838990.95409995,4440166374.5432205,1.5053
200809,5176585082.17,-513047553.33731985,4507005365.49732,-11.3833
200810,4082239622.606271,-1094345459.56373,5176585082.17,-21.1403
200811,3887889493.3199997,-194350129.28627,4082239622.606271,-4.7609
200812,5910233762.955759,40557718.32872997,3887889493.3199997,1.0432
200901,5554072849.039999,-356160913.91575986,5910233762.955759,-6.0262
200902,5528820415.889838,-25252433.150160074,5554072849.039999,-0.4547
200903,6554309544.55,340404697.4699398,5528820415.889838,6.1569
200904,7474837545.38,920528000.83,6554309544.55,14.0446
200905,8012585020.083991,537747474.7039902,7474837545.38,7.1941
200906,7339360658.34,-16194043.05485563,8012585020.083991,-0.2021
200907,7862694359.32716,523333700.9871599,7339360658.34,7.1305
200908,8119960410.737969,257266051.41081002,7862694359.32716,3.272
200909,7948540317.51584,207559429.58953685,8119960410.737969,2.5562
200910,7680621411.64606,-267918905.86977994,7948540317.51584,-3.3707
200911,8237262957.960002,555302866.67394,7680621411.64606,7.2299
200912,10199245618.606588,210979876.27740914,8237262957.960002,2.5613
201001,9781087553.882998,-418158051.28359,10199245618.606588,-4.0999
201002,10013886457.613302,251754903.73030016,9781087553.882998,2.5739
201003,10681612178.59,521087939.15795016,10013886457.613302,5.2037
201004,10814500033.828989,132887855.23898984,10681612178.59,1.2441
201005,10022898805.300001,-791601228.5289899,10814500033.828989,-7.3198
201006,9908795070.03841,-320905876.13074017,10022898805.300001,-3.2017
201007,10659595873.430336,750800803.39193,9908795070.03841,7.5771
201008,10387169498.543602,-272426374.8867401,10659595873.430336,-2.5557
201009,21685426199.08935,1071006812.7704823,10387169498.543602,10.3109
201010,22377714190.0552,692287990.9658399,21685426199.08935,3.1924
201011,22804812813.121597,427098623.0663999,22377714190.0552,1.9086
201012,11724646464.37,650558688.0654562,22804812813.121597,2.8527
201101,11775301762.947317,50655298.577319905,11724646464.37,0.432
201102,12109598109.06374,334296346.1164199,11775301762.947317,2.839
201103,12101978997.747623,88000379.4401103,12109598109.06374,0.7267
201104,12603857847.100183,501878849.3525501,12101978997.747623,4.1471
201105,15961813190.42896,3357955343.3287807,12603857847.100183,26.6423
201106,12896642838.600866,-57685354.01730496,15961813190.42896,-0.3614
201107,12913243621.420938,16600782.820080012,12896642838.600866,0.1287
201108,12057677284.06157,-855566337.3593702,12913243621.420938,-6.6255
201109,12319242439.33762,-819847084.3439304,12057677284.06157,-6.7994
201110,13996126747.545734,1676884308.2081199,12319242439.33762,13.6119
201111,13422862011.452038,-296091395.83370006,13996126747.545734,-2.1155
201112,2345127913.5434794,-112754087.86908486,13422862011.452038,-0.84
201201,2570750944.9874997,225623031.44401997,2345127913.5434794,9.6209
201202,2702826361.0480003,132075416.06049997,2570750944.9874997,5.1376
201203,15946969253.64244,16932030.767000053,2702826361.0480003,0.6265
201204,15963441042.768702,16471789.1262596,15946969253.64244,0.1033
201205,14813691654.674614,-1145952935.0640895,15963441042.768702,-7.1786
201206,18142836016.740425,242500828.6924934,14813691654.674614,1.637
201207,18541539136.911495,398703120.1710704,18142836016.740425,2.1976
201208,19510590249.20769,969051112.2961998,18541539136.911495,5.2264
201209,15952240478.55169,453296009.97394186,19510590249.20769,2.3233
201210,15355095740.657452,-597144737.8942399,15952240478.55169,-3.7433
201211,15677606701.9694,320758759.11195034,15355095740.657452,2.0889
201212,14904749954.82463,33684779.15372858,15677606701.9694,0.2149
201301,15820182314.92516,915432360.1005298,14904749954.82463,6.1419
201302,15988755454.886078,168573139.96092007,15820182314.92516,1.0656
201303,20568298809.904755,571101150.4092404,15988755454.886078,3.5719
201304,20816197945.953335,247899136.04858017,20568298809.904755,1.2052
201305,21451214066.1263,635016120.1729696,20816197945.953335,3.0506
201306,21546203063.111588,72627.52607870847,21451214066.1263,0.0003
201307,21963468596.17999,647433108.81841,21546203063.111588,3.0049
201308,21916697608.282845,-46770987.89714986,21963468596.17999,-0.2129
201309,23064842535.934025,778941852.5731884,21916697608.282845,3.5541
201310,23473065721.899464,408223185.96544015,23064842535.934025,1.7699
201311,24276777424.39153,803711702.4920697,23473065721.899464,3.424
201312,23187898198.33605,474890129.9544835,24276777424.39153,1.9561
201401,21596461639.10832,-1591436559.22772,23187898198.33605,-6.8632
201402,22852323164.945484,1255861525.8371608,21596461639.10832,5.8151
201403,20921232670.65708,-1638291921.877129,22852323164.945484,-7.169
201404,20154943207.27048,-766289463.3866001,20921232670.65708,-3.6627
201405,20913973883.338093,759030676.0676101,20154943207.27048,3.766
201406,22709938361.997643,261145967.52358496,20913973883.338093,1.2487
201407,22650854312.013138,-59084049.98451017,22709938361.997643,-0.2602
201408,23383592725.317238,732738413.3041,22650854312.013138,3.2349
201409,23667618844.778984,-245722670.28353426,23383592725.317238,-1.0508
201410,24429705919.2036,762087074.4246099,23667618844.778984,3.22
201411,25321225037.105415,891519117.9018201,24429705919.2036,3.6493
201412,673678340066.4858,722754935865.7893,25321225037.105415,2854.3443
201501,673102342372.9211,-575997693.5646197,673678340066.4858,-0.0855
201502,674988585180.1056,1886242807.1840496,673102342372.9211,0.2802
201503,22239207739.919003,-544562100838.3227,674988585180.1056,-80.6772
201504,22688441616.383118,449233876.46411014,22239207739.919003,2.02
201505,22728926053.45821,40484437.07509055,22688441616.383118,0.1784
201506,22279064597.698715,-67753834.2525224,22728926053.45821,-0.2981
201507,23148001531.431335,868936933.7326301,22279064597.698715,3.9002
201508,21702572914.680267,-1445428616.7510695,23148001531.431335,-6.2443
201509,22769108108.58668,-970662314.0532832,21702572914.680267,-4.4726
201510,23681178820.148083,912070711.5614003,22769108108.58668,4.0057
201511,24032160343.204033,350981523.0559501,23681178820.148083,1.4821
201512,22813407429.245663,-466445738.23581254,24032160343.204033,-1.9409
201601,21350069465.807686,-1463337963.4379902,22813407429.245663,-6.4144
201602,20786391072.540028,-563678393.2676494,21350069465.807686,-2.6402
201603,16771027619.097546,974898301.652661,20786391072.540028,4.6901
201604,17000712260.186787,229684641.08924007,16771027619.097546,1.3695
201605,17558187169.094833,557474908.9080502,17000712260.186787,3.2791
201606,21620650780.593193,85449766.54221489,17558187169.094833,0.4867
201607,22596098018.30135,975447237.7081599,21620650780.593193,4.5116
201608,22730496709.817406,134398691.5160605,22596098018.30135,0.5948
201609,22351176621.998825,145616911.86178997,22730496709.817406,0.6406
201610,21683347054.77359,-667829567.2252301,22351176621.998825,-2.9879
201611,20713973213.51316,-969373841.2604303,21683347054.77359,-4.4706
201612,19107996453.038933,-57549802.99776448,20713973213.51316,-0.2778
201701,20194199542.312275,1086203089.2733498,19107996453.038933,5.6845
201702,20956668246.33024,762468704.0179503,20194199542.312275,3.7757
201703,19017130231.15434,409021074.71579,20956668246.33024,1.9517
201704,19632069166.50196,614938935.34762,19017130231.15434,3.2336
201705,20340182058.223732,708112891.7217696,19632069166.50196,3.6069
201706,19406360807.2807,40199620.48883035,20340182058.223732,0.1976
201707,20300223984.32359,893863177.0428901,19406360807.2807,4.606
201708,20767529410.193333,467305425.8697402,20300223984.32359,2.302
201709,20555401961.909096,-178720064.82413518,20767529410.193333,-0.8606
201710,21238894357.29143,683492395.3823303,20555401961.909096,3.3251
201711,20258336704.86328,106472165.57185009,21238894357.29143,0.5013
201712,19155217608.302822,62119510.569900066,20258336704.86328,0.3066
201801,21154140244.2173,1998922635.9144797,19155217608.302822,10.4354
201802,19498475983.760723,-600350300.4601802,21154140244.2173,-2.838
201803,19744978336.087128,-313062415.29105985,19498475983.760723,-1.6056
201804,20035591526.250046,290613190.1629099,19744978336.087128,1.4718
201805,20937661563.27084,902070037.0208,20035591526.250046,4.5023
201806,18908614163.69014,73091028.097105,20937661563.27084,0.3491
201807,19474610490.371033,565996326.6808901,18908614163.69014,2.9933
201808,19797858222.63144,323247732.26040995,19474610490.371033,1.6598
201809,19444755780.01627,131852508.54853012,19797858222.63144,0.666
201810,17256366899.05462,-2188388880.9616504,19444755780.01627,-11.2544
201811,17385306671.24349,128939772.18887,17256366899.05462,0.7472
201812,14774195483.884851,-1519438498.171835,17385306671.24349,-8.7398
201901,16588664988.414936,1814469504.5300903,14774195483.884851,12.2813
201902,17129813683.770555,541148695.3556195,16588664988.414936,3.2622
201903,17107201837.348705,503130610.16273487,17129813683.770555,2.9372
201904,18264404682.75978,1157202845.41107,17107201837.348705,6.7644
201905,16869039716.353712,-1395364966.4060698,18264404682.75978,-7.6398
201906,16098873133.234268,1141936241.6862853,16869039716.353712,6.7694
201907,16368826049.862877,269952916.62860966,16098873133.234268,1.6768
201908,16028980272.69592,-339845777.1669599,16368826049.862877,-2.0762
201909,17003822695.768671,-373079506.84845513,16028980272.69592,-2.3275
201910,17781318773.68033,777496077.9116604,17003822695.768671,4.5725
201911,19154935055.81517,1373616282.1348393,17781318773.68033,7.7251
201912,18661043714.93424,520663398.7404049,19154935055.81517,2.7182
